"Horodateur","Quel(s) problème(s) rencontrez-vous pour évacuer vos ordures ménagères","A quelle point le klaxon des voitures de ramassage d'ordure vous dérangent-ils","À quelle fréquence passe les camions de ramassage d'ordures"," Quelle est la fréquence d'évacuation de vos ordures","Existe-t-il un point de collecte d'ordures dans votre localité (quartier)","Quelle est votre réaction en voyant une personne jetée des ordures par terre?","Triez-vous vos ordures (plastique - papiers - autres) ","Etes-vous pour un bac à ordures(poubelle modernisé) bien adapté ","Êtes-vous pour un système d'alerte pour sortir vos ordures"
"2023/08/10 4:15:09 PM UTC+3","Les charrettes de ramassages coûtent chers;On oublie souvent de sort les ordures","Ça me dérange un peu","Chaque deux(2) jours","Chaque  jour","NON","Je la conseille de ne plus faire une chose pareille","NON","OUI","OUI"
"2023/08/10 4:57:27 PM UTC+3","Les voitures ne passent pas souvent;Il n'y a pas de point collecte ou de dépôt des ordures dans notre zone","Ça ne me dérange pas","5 jour ","Chaque  jour","NON","Je continue mon chemin","NON","NON","NON"
"2023/08/10 6:01:32 PM UTC+3","On oublie souvent de sort les ordures","Ça me dérange un peu","Chaque trois(3) jours","Chaque trois(3) jours","OUI","Je ramasse les ordures et les mets dans une poubelle","NON","OUI","OUI"
"2023/08/10 6:23:02 PM UTC+3","Les voitures ne passent pas souvent","C'est vraiment insupportable","Chaque deux(2) jours","Chaque  jour","OUI","Je la conseille de ne plus faire une chose pareille","NON","OUI","OUI"
"2023/08/10 6:26:51 PM UTC+3","Les voitures ne passent pas souvent;Il n'y a pas de point collecte ou de dépôt des ordures dans notre zone","Ça me dérange un peu","Je l’ai fois que sur la route principale qui est à des centaines de mètres de chez moi et mes voisins ","Une fois que la poubelle est pleine","NON","Je continue mon chemin","NON","OUI","OUI"
"2023/08/10 6:36:48 PM UTC+3","Les voitures ne passent pas souvent;","Ça me dérange trop","Chaque jour","Chaque  jour","OUI","Je continue mon chemin;Ça ne me regarde pas de toute façon","NON","OUI","OUI"
"2023/08/10 6:39:50 PM UTC+3","Les voitures ne passent pas souvent","Ça ne me dérange pas","Normalement c'est chaque jour mais parfois il peut rester 2 à plusieurs jours sans passé","Chaque fois le camion passe","OUI","Je ramasse les ordures et les mets dans une poubelle","NON","OUI","OUI"
"2023/08/10 6:41:58 PM UTC+3","On n’a pas ce problème ","Ça me dérange trop","Chaque jour","Chaque  jour","OUI","Je continue mon chemin","NON","OUI","NON"
"2023/08/10 6:43:58 PM UTC+3","","Ça ne me dérange pas","Chaque jour","Chaque  jour","OUI","Je continue mon chemin","NON","OUI","OUI"
"2023/08/10 6:46:15 PM UTC+3","Il n'y a pas de point collecte ou de dépôt des ordures dans notre zone","Ça me dérange un peu","Chaque deux(2) jours","Chaque deux(2) jours","NON","Je continue mon chemin","NON","OUI","OUI"
"2023/08/10 6:50:07 PM UTC+3","Les voitures ne passent pas souvent","C'est vraiment insupportable","Chaque jour","Chaque deux(2) jours","OUI","Je la conseille de ne plus faire une chose pareille","NON","OUI","OUI"
"2023/08/10 6:57:17 PM UTC+3","","Ça me dérange un peu","Chaque deux(2) jours","Chaque  jour","OUI","Je ramasse les ordures et les mets dans une poubelle","NON","OUI","OUI"
"2023/08/10 7:02:20 PM UTC+3","Il n'y a pas de point collecte ou de dépôt des ordures dans notre zone","Ça me dérange trop","Chaque deux(2) jours","Chaque deux(2) jours","OUI","Je ramasse les ordures et les mets dans une poubelle","NON","OUI","OUI"
"2023/08/10 7:10:21 PM UTC+3","On oublie souvent de sort les ordures","Ça ne me dérange pas","Chaque jour","Chaque  jour","OUI","Je ramasse les ordures et les mets dans une poubelle","OUI","OUI","OUI"
"2023/08/10 7:18:13 PM UTC+3","Les voitures ne passent pas souvent;Les charrettes de ramassages coûtent chers;Il n'y a pas de point collecte ou de dépôt des ordures dans notre zone","Ça me dérange un peu","Chaque jour","Chaque  jour","NON","Je ramasse les ordures et les mets dans une poubelle","NON","OUI","OUI"
"2023/08/10 7:19:45 PM UTC+3","Les voitures ne passent pas souvent;Il n'y a pas de point collecte ou de dépôt des ordures dans notre zone","C'est vraiment insupportable","Chaque jour","Chaque  jour","NON","Je continue mon chemin","NON","OUI","OUI"
"2023/08/10 7:34:49 PM UTC+3","Il n'y a pas de point collecte ou de dépôt des ordures dans notre zone","Ça ne me dérange pas","Chaque deux(2) jours","Chaque deux(2) jours","NON","Je la conseille de ne plus faire une chose pareille","NON","OUI","OUI"
"2023/08/10 7:42:26 PM UTC+3","Les voitures ne passent pas souvent;Les charrettes de ramassages coûtent chers;On oublie souvent de sort les ordures;Il n'y a pas de point collecte ou de dépôt des ordures dans notre zone;","Ça me dérange trop","Chaque jour","Une fois que la poubelle est pleine","NON","Je continue mon chemin","NON","OUI","OUI"
"2023/08/10 8:13:11 PM UTC+3","On oublie souvent de sort les ordures","C'est vraiment insupportable","Chaque jour","Chaque deux(2) jours","OUI","Je ramasse les ordures et les mets dans une poubelle;Je continue mon chemin","NON","OUI","OUI"
"2023/08/10 8:24:06 PM UTC+3","Il n'y a pas de point collecte ou de dépôt des ordures dans notre zone","C'est vraiment insupportable","Chaque trois(3) jours","Chaque  jour","NON","Je continue mon chemin","NON","OUI","OUI"
"2023/08/10 10:09:57 PM UTC+3","Les voitures ne passent pas souvent;Il n'y a pas de point collecte ou de dépôt des ordures dans notre zone","Ça ne me dérange pas","Ils ne passent pas ","Une fois que la poubelle est pleine","NON","Je la conseille de ne plus faire une chose pareille;Je ramasse les ordures et les mets dans une poubelle","NON","OUI","OUI"
"2023/08/10 11:08:26 PM UTC+3","Il n'y a pas de point collecte ou de dépôt des ordures dans notre zone","Ça me dérange un peu","Chaque deux(2) jours","Chaque deux(2) jours","NON","Ça dépend ","NON","OUI","OUI"
